Text,class_label,selected_count,iteration_count
We lost a lot of manufacturing jobs in the 12 years before I became President.,Yes,2,128
"Now, Alan Greenspan, who I think has done a terrific job in monetary policy, supports the president's tax cut.",Yes,2,128
"But I will tell you that, number one, I pay tremendous numbers of taxes.",Yes,2,128
"You said that, first, we should not have a timeline in Afghanistan.",Yes,2,128
If you're happy with the system you can stay in it.,No,2,128
"This permits a company to create uh - a dummy corporation, to export their products, and then not to pay the full amount of taxes on them.",Yes,2,128
One of the largest industries in the world is the travel and tourist business.,Yes,2,128
"And so part of leadership and governing is both saying what it is that you are for, but also being willing to say no to some things.",No,2,128
"Now look, if you want someone who will spend a lot of words describing a whole convoluted process and then end up supporting legislation that is supported by the big drug companies, this is your man.",Yes,2,128
Mr. Ford uh - actually has fewer people now in the private sector in non-farm jobs than when he took office.,Yes,2,128
"The president also unfortunately gave in to the chemical industry, which didn't want to do some of the things necessary to strengthen our chemical plant exposure.",Yes,2,128
"But I will say, we are not doing the job we should be doing.",No,2,128
They do not pay us.,Yes,2,128
"Child safety trigger locks on a mandatory basis, and others.",No,2,128
That's how we got a treaty reducing nuclear weapons.,Yes,2,128
He says that he voted for the resolution.,Yes,2,128
"And it's a strain on your family budget, but it's also bad for our national security, because countries like Russia and Venezuela and, you know, in some cases, countries like Iran, are benefiting from higher oil prices.",Yes,2,128
It's a $500 per child tax credit.,Yes,2,128
And by that I mean we're moving troops out of Korea and replacing them with more effective weapons.,Yes,2,128
I wish that he would consider changing his mind on that.,No,2,128
We had Saddam Hussein trapped.,No,2,128
"She said the 33,000 e-mails had to do with her daughter's wedding, number one, and a yoga class.",Yes,2,128
"Number two -- and that bothers me, because we should be asking -- we're defending them, and they should at least be paying us what they're supposed to be paying by treaty and contract.",Yes,2,128
He didn't honor the agreement.,Yes,0,128
"No attack ever created a job or educated a child, or helped a family make ends meet.",No,2,128
"He voted for nearly a billion dollars in pork barrel earmark projects, including, by the way, $3 million for an overhead projector at a planetarium in Chicago, Illinois.",Yes,2,128
These appointments are for life.,No,2,128
That was the right thing to do.,No,0,128
"And although there was a serious threat to the Social Security System and its integrity during the 1976 campaign and when I became President, the action of the Democratic Congress working with me has been to put Social Security back on a sound financial basis.",Yes,2,128
"At that time, uh - 25 or 30 percent of the Reagan supporters said that they would not support President Ford.",Yes,2,128
Many of her friends took bigger deductions.,Yes,2,128
And I am going to continue to defend my record and defend my propositions against what I think are exaggerations.,No,2,128
And I don't think it should do that.,No,2,128
She did call it the gold standard.,Yes,2,128
"It means also helping local school districts that sometimes find the parents of school age children outvoted on bond issues, to give them some help with interest-free bonding authority so that we can build new schools and modernize the classrooms.",No,2,128
"It includes telling the oil companies, that currently have 68 million acres that they're not using, that either you use them or you lose them.",Yes,2,128
"And she'll always allow it, because the people that give her all this money, they want it.",No,0,128
"Well, these special kinds of programs have - have robbed the average taxpayer and have benefited those who are powerful, and who can employ lobbyists, and who can have their CPAs and their lawyers to help them benefit from the roughly uh - eight thousand pages of the tax code.",Yes,2,128
"And I just said to you earlier, town hall meeting after town hall meeting, parents come with kids, children -- precious children who have autism.",No,2,128
I have my own little foundation that's raised about $10 million for the disabled.,Yes,2,128
"First of all, we all know that in his state of the union message, he told Congress about nuclear materials that didn't exist.",Yes,2,128
I'm concerned about the fact that so many of our securities are in the hands of foreign banks because of these massive deficits.,Yes,2,128
Who disagrees with keeping neighborhoods safe?,No,2,128
"And to the governor's credit, you supported us going into Libya and the coalition that we organized.",Yes,2,128
But the people are going to have to make up their mind on this issue.,No,2,128
The last candidate who indicated that he knew who his cabinet was going to be was Mr. Dewey in 1948.,Yes,2,128
That's creating tens of thousands of jobs all across the country.,Yes,1,128
He wants you to believe that I can't be president.,No,2,128
That's what we caught him doing.,Yes,2,128
The reason Magic Johnson resigned from the AIDS Commission is because the statement you heard tonight from Mr. Bush is the longest and best statement he's made about it in public.,Yes,2,128
"We in this country can -- can compete successfully with anyone in the world, and we're going to.",No,2,128
"I want to make sure the equipment for our military is the best it can possibly be, of course.",No,2,128
I'm going to have a special prosecutor.,No,2,128
"As a matter of fact, in the proposal for the Alaska lands legislation, 100% of all the offshore lands would be open for exploration, and 95% of all the Alaska lands, where it is suspected or believed that minerals might exist.",Yes,2,128
It came out of the committee of which I was the chairman - the labor subcommittee - in fifty-five.,Yes,2,128
I have a long record of reform and fighting through on the floor of the United States Senate.,Yes,0,128
"We're funding them ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ I wish there was more money -- but we're funding them far more than any time in the past, and we're going to keep on doing that.",Yes,2,128
That was my first vote against tobacco companies when I said we ought to label cigarettes.,Yes,2,128
"But more importantly, we've reformed the system to make sure that we solve problems early, before they're too late.",No,2,128
My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with.,No,2,128
This is not enough; it should be more.,No,2,128
"And remember the Federal deficit has come down $70 billion in one year, in 1987.",Yes,2,128
We're now working on the communications industry.,Yes,2,128
I believe we can be successful.,No,2,128
"There is a difference, though, as to what the economy has meant.",No,2,128
"That's the enemy that is now in 60 countries, with stronger recruits.",Yes,2,128
"The American people now are facing, next Tuesday, a lonely decision.",No,2,128
"Now, you're paying for that.",No,2,128
The fact is that he's cut job-training money.,Yes,2,128
The most recent and troubling of these has been Russia.,No,2,128
Nothing will ever top NAFTA.,No,2,128
"One of the areas, and of course the most vulnerable area is - I have felt, has been Eastern Europe.",No,2,128
What we have right now in Washington is a place that's gridlocked.,No,2,128
I don't believe we should move to a cold-war relationship.,No,2,128
"We resolved, we rescued Social Security.",Yes,0,128
That ammo is now being used against our kids.,No,2,128
"My fellow Americans, as I've said at the very beginning of this debate, both President Bush and I love this country very much.",No,2,128
That was done with much thought and deliberation.,No,2,128
I don't think he was misleading when he called Iraq a grave threat in the fall of 2002.,No,2,128
"And there's one going on right now, which we don't know about it.",Yes,0,128
"See, we have an adversarial relationship between government and business.",No,2,128
"We still have the strictest air control, or air pollution laws in the country.",Yes,2,128
"So, on the key issues that are of importance to American families, Joe Biden's always been on the right side, and I think he will make an outstanding president if, heaven forbid, something happened to me.",No,2,128
"We've got a program called Race to the Top that has prompted reforms in 46 states around the country, raising standards, improving how we train teachers.",Yes,2,128
"What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy.",No,0,128
"We need to encourage programs such as Teach for America and Troops to Teachers where people, after having served in the military, can go right to teaching and not have to take these examinations which -- or have the certification that some are required in some states.",No,2,128
That's why we opposed the government take over health care plan that President Clinton tried and tried and tried to get through Congress.,Yes,0,128
"And indeed, you can look at the propaganda on a lot of the terrorists sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us.",Yes,2,128
"And so I have just negotiated with the president of Mexico the North American Free Trade Agreement -- and the prime minister of Canada, I might add -- and I want to have more of these free trade agreements, because export jobs are increasing far faster than any jobs that may have moved overseas.",Yes,2,128
That's got to be changed.,No,2,128
And they don't have the same capacities to attack the U.S. homeland and our allies as they did four years ago.,Yes,2,128
"It's probably going to take a much, much higher figure.",No,2,128
Osama bin Laden doesn't get to decide.,No,2,128
"Well, the AmeriCorps program, I must say, if that's one of your successes, I wouldn't speak about it too loudly.",No,2,128
how well it could be done.,No,2,128
But I'm not in favor of rounding up people and -- and -- and taking them out of this country.,No,0,128
I'm going to keep my word to you.,No,2,128
"We haven't seen anything like this, the carnage all over the world.",No,2,128
I'm well aware of the really legitimate concerns that you have expressed from both the president and the general.,No,2,128
We can help build coalitions but we can't put our troops all around the world.,No,2,128
"But we were far stronger relative to the Communists five years ago, and what is of great concern is that the balance of power is in danger of moving with them.",Yes,2,128
We will make some gains in the United States Senate.,No,2,128
I don't want to go back to the Carter grain embargo on the Soviets.,No,2,128
"And that amendment put the Senate of the United States on record with a majority of the Senator's own party voting for it, as well as the majority of Republicans - put them on record - against the very position that the Senator takes now of surrendering, of indicating in advance, that the United States will not defend the offshore islands.",Yes,2,128
"For 200 years, we've lived in the future, believing that tomorrow would be better than today, and today would be better than yesterday.",No,2,128
"We've got the highest inflation we've had in twenty-five years right now, except under this administration, and that was fifty years ago.",Yes,2,128
"America gained by continuing the dignity, the decency that has characterized us and it's that that keeps the prestige of America up, not running down America the way Senator Kennedy has been running her down.",No,2,128
"And so I would want to see the Supreme Court reverse Citizens United and get dark, unaccountable money out of our politics.",No,0,128
"I would not ship that Arab country anything - no weapons, no spare parts for weapons, no oil-drilling rigs, no oil pipe, no nothing.",No,2,128
That's why Senator Lugar says: incompetent in the delivery of services.,Yes,2,128
"We relied in the Middle East on the Baghdad Pact, and yet when the Iraqi Government was changed, the Baghdad Pact broke down.",Yes,2,128
I think we've got to have fiscal restraint.,No,2,128
His own analysis says that unemployment will be slightly higher in 1995 under his plan than it is today.,Yes,2,128
"The terrorism czar, who has worked for every president since Ronald Reagan, said, ""Invading Iraq in response to 9/11 would be like Franklin Roosevelt invading Mexico in response to Pearl Harbor.""",Yes,2,128
This is the worst trade year in American history by far.,Yes,2,128
But what is really troubling is that we learned in the last debate he has not paid a penny in federal income tax.,Yes,0,128
"And when I stood up there and spoke to the Congress, I was speaking off the same intelligence he looked at to make his decisions to support the authorization of force.",No,2,128
He's lost his most recent job and we've now just lost our home.,No,2,128
They didn't tell you that that same year they increased spending $1.83 for every dollar we increased taxes.,Yes,2,128
"The President wants to spend 20 percent more in the next six years, and I want to spend 14 percent more and give that 6 percent back to the people.",Yes,2,128
What I will do is permit people to buy into Medicaid.,No,0,128
"The only bright spot is that over 300,000 jobs have been created by small businesses.",Yes,2,128
Now we've been hurt in recent years in this country.,No,2,128
There are extremists in all parts of the Middle East who want to kill that peace process.,Yes,2,128
Nor was I misleading on the day that the president decided to go to war when I said that he had made a mistake in not building strong alliances and that I would have preferred that he did more diplomacy.,Yes,2,128
That is the bottom line.,No,0,128
