Text,class_label,topic
They've cut the training money.,Yes,
The average family is paying an additional $900 a year in higher premiums because of the uninsured.,Yes,
"In California, we made 37 billion dollars' worth of telecommunications equipment eligible for export for the first time.",Yes,
We find four times as many projects undertaken and completed in this Administration than in the previous one.,Yes,
"I see people in my state, middle class people -- their taxes have gone up in Washington and their services have gone down while the wealthy have gotten tax cuts.",Yes,
"And what we've done when it comes to trade is not only sign three trade deals to open up new markets, but we've also set up a task force for trade that goes after anybody who is taking advantage of American workers or businesses and not creating a level playing field.",Yes,
"Copays, deductibles, prescription drug costs, and I've laid out a series of actions that we can take to try to get those costs down.",Yes,
"But when -- when Governor Romney says that he'll replace it with something, but can't detail how it will be in fact replaced and the reason he set up the system he did in Massachusetts was because there isn't a better way of dealing with the preexisting conditions problem.",Yes,
"If you don't get a two-thirds, then your resolution doesn't pass.",Yes,
"We have a budget deficit in the federal government, but we also have an investment, a jobs, an income deficit.",Yes,
You called it the gold standard of trade deals.,Yes,
"Governor Romney says, well, those top 3 percent, they're the job creators, they'd be burdened.",Yes,
"That's not true in Connecticut, family income is down.",Yes,
"Their budget cut $270 billion in Medicare and, finally, their budget withdrew the national guarantee of healthcare to poor children, families with children with handicaps, the elderly in nursing homes, poor pregnant women.",Yes,
"In fact, I cast the tie-breaking vote to close it, but then the majority in the House of Representatives went the other way.",Yes,
"And one journal, the San Francisco Chronicle, a respected newspaper, said there was no question about the fact that Governor Reagan had prevented the State of California from going bankrupt.",Yes,
Now I understand it's been extended 'til some time next year.,Yes,
"Secondly, in Haiti, political violence is much, much smaller than it was.",Yes,
People need to know that over the next ten years it is going to be $25 trillion of revenue that comes into our treasurey and we anticipate spending $21 trillion.,Yes,
It starts with a billion dollar pay raise for the men and women who wear the uniform.,Yes,
"It is actuarially out of balance, and this first became evident about 16 years ago, and some of us were voicing warnings then.",Yes,
And we have maintained the sanctions.,Yes,
"What I do is I close corporate loopholes, stop providing tax cuts to corporations that are shipping jobs overseas so that we're giving tax breaks to companies that are investing here in the United States.",Yes,
"And people were able to stay in their homes, and eventually the values of those homes went up, and they actually made money.",Yes,
"And I said that I felt that rather than tell the lie which we told, rather than indicate that the flights would continue - in fact, I believe Mr. Nixon himself said on May fifteenth that the flights would continue even though Mr. Herter testified before the Senate Foreign Relations Committee that they had been canceled as of May twelfth - that it would have been far better that if we had expressed regrets, if that would have saved the summit, and if the summit is useful - and I believe it is.",Yes,
"He had two terms in the Senate, serving his second term.",Yes,
"We have unbelievable -- we have found over the last seven years, we have found tremendous wealth right under our feet.",Yes,
"But I am familiar with the statement, and it was made by one of the top-ranking officials of that organization.",Yes,
"Civilians get onto aircraft, and their luggage is X-rayed, but the cargo hold is not X- rayed.",Yes,
"You know, because it sounds like you're in the business or you're aware of people in the business -- you know that we are now for the first time ever energy-independent.",Yes,
"You shouldn't have been in Iraq, but you did vote for it.",Yes,
Under the last Democratic administration 60 percent of all weapons that went into the Middle East were for Israel.,Yes,
"Under Governor Bush's tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined.",Yes,
"And I am also focussed on the fact that isn't it a paradox that we have the highest productivity in our workforce in the industrialized world and at the same time have the largest trade deficit, and at the same time rank behind 9 other nations in what we pay our most productive people in the world, and we're losing whole industries overseas.",Yes,
"And, by the way, ISIS has a good chunk of their oil.",Yes,
We've done a lot to give the people more powers to make their own decisions over their own lives.,Yes,
"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.",Yes,
"We're going into debt an additional $1 billion, little more than $1 billion every working day of the year.",Yes,
"And we recently have learned that, you know, that this is one of their preferred methods of trying to wreak havoc and collect information.",Yes,
"But, in fact, these last 4 years have seen more weapons built, a wider and more vigorous arms race than in human history.",Yes,
"For example, Germany will spend a trillion dollars building infrastructure over the next 10 years.",Yes,
And Hillary Clinton wants to allow a 550 percent increase over Obama.,Yes,
"In 1980 -- or 1979, a person with a fixed income of $8,000 was $500 above the poverty line, and this maybe explains why there are the numbers still in poverty.",Yes,
"Number one, I want to cut taxes for 95 percent of Americans.",Yes,
Iran is taking over Iraq.,Yes,
But what she doesn't say is that President Obama has deported millions and millions of people just the way it is.,Yes,
"And every fact checker and every reporter who's looked at it, Governor, has said this is not true.",Yes,
The governor was for a nuclear freeze that would have locked in a thousand Soviet intermediate nuclear force weapons and zero for the West.,Yes,
But we are putting our energy companies out of business.,Yes,
"There's only one of us on this stage who's actually shipped jobs to Mexico, because that's Donald.",Yes,
We can't have any more instances like what happened when Mr. Bush went to Japan and the Japanese prime minister said he felt sympathy for our country.,Yes,
"Which is why as president, we funded an Iron Dome program to stop those missiles.",Yes,
"We met the goals this year, but in the previous years we have not met recruiting goals.",Yes,
I notice that his task force that is working for his future plans had some of their ideas revealed in The Wall Street Journal this week.,Yes,
We often hear gross national product discussed and in that respect may I say that when we compare the growth in this Administration with that of the previous Administration that then there was a total growth of eleven percent over seven years; in this Administration there has been a total growth of nineteen per cent over seven years.,Yes,
"Now with respect to the deficit, the president was handed a $5.6 trillion surplus, ladies and gentlemen.",Yes,
And the president supports taking $716 billion out of that program.,Yes,
"But 32 of those have given up and canceled their plans to build, and again, because Government regulations and permits, and so forth, take - make it take - more than twice as long to build a nuclear plant in the United States as it does to build one in Japan or in Western Europe.",Yes,
"Our jobs are being taken out by the deal that her husband signed, NAFTA, one of the worst deals ever.",Yes,
We've done it in Arkansas.,Yes,
"... that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line, sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear favorite in this race.",Yes,
We saved an auto industry that was on the brink of collapse.,Yes,
"First of all, in terms of standing up to the leaders of my party, the first major bill that I voted on in the Senate was in support of tort reform, which wasn't very popular with trial lawyers, a major constituency in the Democratic Party.",Yes,
Most people that are lobbying are lobbying the Congress.,Yes,
"I want to make more people like that woman, Lily Harden, so I've got a plan to do it, and it's just beginning.",No,
"I agree with what he's talking about in trying to get this spending down and the discipline, although I think we ought to totally exempt Social Security.",No,
"And number three, we need to be a force for freedom and democracy and we need to use our unique position to support freedom, whether it's in Haiti or in China or in any other place, wherever the seeds of freedom are sprouting.",No,
"You walk in, you put your little card in there.",No,
"Affirmative action means that you take extra steps to acknowledge the history of discrimination and injustice and prejudice and bring all people into the American dream because it helps everybody, not just those who are directly benefitting.",No,
"We ought to have universal pre-school and we ought to make college tuition tax deductible, up to $10,000 a year.",No,
I congratulate him on -- on taking out Osama bin Laden and going after the leadership in al-Qaeda.,No,
It's a strategy that will succeed.,No,
"And in 2006, our seniors will get a prescription drug coverage in Medicare.",No,
But this will be an interesting moment for the Russians to step up and lead as well.,No,
And I said that at that time.,No,
On the fourth of July we had a wonderful two hundredth birthday - for our great country.,No,
That's the kind of mindset that says sanctions were working.,No,
"And I've got to tell you, Governor Romney, when it comes to his own party during the course of this campaign, has not displayed that willingness to say no to some of the more extreme parts of his party.",No,
"We have to tell Japan in a very nice way, we have to tell Germany, all of these countries, South Korea, we have to say, you have to help us out.",No,
"Three weeks from now -- 2 weeks from tomorrow, America goes to the polls and you're going to have to decide who you want to lead this country to economic recovery.",No,
"Because China has an interest in the outcome, too.",No,
We now have uh - a greatly expanded White House staff.,No,
Those are the kinds of things that will really boost the economy.,No,
"They say, what do we need this for?",No,
"Now, to -- I still -- I just have a minute here?",No,
"If America shows uncertainty or weakness in this decade, the world will drift toward tragedy.",No,
He is the leader of that country.,No,
"I want to talk about your responsibility, and your responsibility.",No,
