Text,class_label,topic
"Got four more years, I've got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand Pell Grants to make sure that people have an opportunity to start their career with a college diploma.",No,education
"Number two, we've got to make sure that we have the best education system in the world.",No,education
"I've done more to eliminate Affirmative Action programs I didn't think were fair and tighten others up than my predecessors have, since affirmative action's been around.",Yes,education
"$90 billion, that would have -- that would have hired 2 million teachers.",Yes,education
Where every eight-year-old can read.,No,education
But let's take an example that we know is going to make a difference in the 21st century and that's our education policy.,No,education
"Now, that has nothing to do with learning.",No,education
"Under my plan, if a school is failing, we work with the states to give them the authority and the resources to close down that school and reopen it right away with a new principal, a new faculty, a turn-around team of specialists who know what they're doing.",No,education
"And as a consequence, what we've been able to do is to provide millions more students assistance, lower or keep low interest rates on student loans.",Yes,education
"And most important, let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the Internet, every 18-year-old can go to college.",No,education
"I should also point out this; once you put the responsibility on the federal government for paying a portion of teachers' salaries, your local communities and your states are not going to meet the responsibility as much as they should.",No,education
I didn't say we had the worst education in the world.,Yes,education
I want to reduce the size of the classrooms in this country.,No,education
The goal is for every single child to learn to Read.,No,education
One is to change Head Start to a reading program.,No,education
Every 12-year-old can log in on the Internet.,No,education
"Right now, I meet young people all across the country who either have decided not to go to college or if they're going to college, they are taking on $20,000, $30,000, $50,000, $60,000 worth of debt, and it's very difficult for them to go into some fields, like basic research in science, for example, thinking to themselves that they're going to have a mortgage before they even buy a house.",Yes,education
"Interesting phenomenon: small towns have good schools, big cities have terrible schools.",No,education
"We've got a program called Race to the Top that has prompted reforms in 46 states around the country, raising standards, improving how we train teachers.",Yes,education
I don't think we should spend tax money on private schools.,No,education
And I supported a big expansion in safe and drug-free schools program to support things like the DARE program because I thought all those things were very important.,Yes,education
We've seen progress and gains in schools that were having a terrible time.,No,education
"I hear from teachers all the time about the lawsuits and the threats, respect in the classroom.",No,education
We find that schools are extending the curriculum to now have forced teaching of mathematics and science and so forth.,Yes,education
"Now, why should there be any question about the federal government aiding s- teachers' salaries?",No,education
And community colleges are on the job.,No,education
I'm a product of a public school.,Yes,education
"The neighborhood, the kind of environment people are growing up in, and that leads me to the programs I'm talking about in terms of education.",No,education
"We have to start treating teachers like the professionals that they are, and give them the respect and the kind of quality of life that will draw more people into teaching because we need a lot more teachers.",No,education
So I reject the idea that I don't believe in great teachers or more teachers.,No,education
"Secondly, across Texas, typically half of the school day was non-academic pursuits -- in one place it was 35%.",Yes,education
One is by ex- the programs such as aid to education.,No,education
So what we want to do is called opportunity scholarships.,No,education
Those things would revolutionize American education and take us to the top economically.,No,education
"It's about Kipp Academy in Houston, Texas.",No,education
"It's pretty clear that was a quota case, and just because one teacher was white and one black and they had the same qualifications, you know they decided who would stay there.",No,education
"Yes, I've got scars to show for being around education reform.",No,education
I believe strongly in a teacher protection act like I mentioned.,No,education
I think this would be bad for the country; I think it would be bad for the teaching profession.,No,education
Secondly was the federal aid to education bill.,No,education
"And the consequence is that federal portion or federal money will go to the parent, so the parent can go to a tutoring program or another public school or another private school.",Yes,education
"And that's why I've proposed a $4,000 tuition credit, every student, every year, in exchange for some form of community service, whether it's military service, whether it's Peace Corps, whether it's working in a community.",Yes,education
"What Michael says, don't put all these rules on us, just let us teach and hold us accountable for every grade.",No,education
"The goals ought to be an education system that leaves no child behind, Medicare for our seniors, a Social Security system that's safe and secure, foreign policy that's in our nation's interest, and a strong military, and then bring people together to achieve those goals.",No,education
We can't continue to shuffle children through school.,No,education
"Senator McCain's absolutely right: The D.C. school system is in terrible shape, and it has been for a very long time.",No,education
Massachusetts schools are ranked number one in the nation.,Yes,education
They're using text books that are 10 years old.,Yes,education
"I was able for two years when I was in, a very young boy to go to a Catholic school, but I basically went to public schools all my life.",No,education
And let me tell you one specific pilot program where children who don't have a chance go to this program when they're 3.,No,education
Half -- one out of two of the full-time college students in the United States are receiving some form of Federal aid.,Yes,education
"Every school and every school district, have every state test the children.",No,education
"I'm not satisfied when many of our teachers are inadequately paid, or when our children go to school part-time shifts.",No,education
"But I think that one area we agree on is the important of parents and the importance of schools, because I do believe that if our young people have opportunity, then they are less likely to engage in these kinds of violent acts.",No,education
There are 9 countries that spend more than we do on public education.,Yes,education
So there's a -- this is a society that -- of ours that's got to do a better job of teaching children right from wrong.,No,education
We can raise the wages of every childcare worker and preschool teacher in America.,No,education
"I think of a teacher right here, largely Hispanic school, Jaime Escalante, teaching calculus to young kids, 80 percent of them going on to college.",Yes,education
"Students who are out there trying to hopefully advance their own dreams, but also this country's dreams.",No,education
"I'm sure you're aware, Senator Obama, of the program in the Washington, D.C., school system where vouchers are provided and there's a certain number, I think it's a thousand and some and some 9,000 parents asked to be eligible for that.",Yes,education
"So, there are a host of other figures that reveal that the grant programs are greater than they have ever been, taking care of more people than they ever have.",Yes,education
"Seventy percent of my state's money goes to the public schools, and I was really honored when Time magazine said that our schools have shown more improvement than any other state in the country except one other -- they named 2 states showing real strides forward in the 80s.",Yes,education
"All schools, all school districts, students themselves, and required teacher testing, which goes a step farther than Governor Bush has been willing to go.",No,education
We can't have the industries of tomorrow unless we have the best educated workforce.,No,education
So I believe that we need to reward these good teachers.,No,education
I don't want to cut our commitment to education.,No,education
We've worked hard to expand public school choice in my balanced budget bill.,No,education
"You know, right out of law school, I went to work for the Children's Defense Fund.",No,education
"They want jobs, they want to be able to make sure their kids are going to a good school.",No,education
"I want this next generation to be the best educated in American history, to invest in the human mind and science again, so we're out front.",No,education
But now we need both that kind of discipline and the resources and the consistent leadership that allows this country to catch up in education and science and training.,No,education
And then you cut education spending when you came into office.,Yes,education
"And I believe the federal government must say that if you receive any money, any money from the federal government for disadvantaged children, for example, you must show us whether or not the children are learning.",No,education
My view is we want to find jobs and opportunities and education.,No,education
It hurts the middle class.,No,education
"And where it's been done, those schools, like in Rochester, those schools that weren't chosen find that they then compete and do better.",Yes,education
"That's why I support a teacher liability act at the federal level, that says if a teacher or principal upholds reasonable standards of classroom discipline they can't be sued.",Yes,education
"And only one in 20 students would be eligible for these vouchers, and they wouldn't even pay the full tuition to private school.",Yes,education
"And without a college level job, that's just unacceptable.",No,education
Young people with high grades can't get a job.,Yes,education
"And I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated.",No,education
"I've a plan in my budget to recruit 100,000 new, highly qualified teachers and to help local school districts build new schools.",Yes,education
And I want to express my appreciation to the League of Women Voters for adopting a course with which I believe the great majority of Americans are in agreement.,No,education
"I was able also to get our schools ranked number one in the nation, so 100 percent of our kids would have a bright opportunity for a future.",Yes,education
"But the federal spending for education is up, and I want to be the education president, because I want to see us do better.",Yes,education
