Text,class_label,topic
We saw a 15% rise in tech sector employment over the last two quarters.,Yes,employment
My opponent has consistently denied the science behind climate change.,Yes,the environment
Our aid package to Ukraine includes $1 billion in humanitarian assistance.,Yes,foreign policy
It's the smallest Air Force fleet since the Air Force was established.,Yes,the military
The American College of Obstetricians and Gynecologists has stated that abortion is healthcare.,Yes,reproductive rights
"In Georgia, they purged over 100,000 voters from the rolls without notice.",Yes,elections
"Studies, multiple studies, show a 95% efficacy rate for our initial two-dose regimen.",Yes,vaccines
One in four U.S. households relies on Social Security benefits.,Yes,social security
"According to the National Education Association, teacher pay remains stagnant despite inflation.",Yes,education
"He promised to have all troops out of Afghanistan by May, didn't he?",Yes,the military
"Uh, the United States is the largest consumer of oil, consuming around 20 million barrels per day.",Yes,energy
"Uh, according to the National Low Income Housing Coalition, a minimum wage worker needs to work 89 hours a week to afford a modest one-bedroom rental at fair market rate.",Yes,housing
The Senator supported a tax cut bill back in 2017 that added a trillion dollars to the deficit.,Yes,the economy
"We've had the hottest five years on record, just recently.",Yes,climate change
"Yeah, there was a study by the University of Pennsylvania that shows community policing reduces violent crime.",Yes,crime
"She mentioned, during the interview with the Times, that the Pentagon doesn't have a plan for a cyberattack.",Yes,foreign policy
Two out of every five rural hospitals are at risk of closing.,Yes,healthcare
"According to the Kaiser Family Foundation, deductibles have increased by 68% since 2010.",Yes,healthcare
"He's claimed personal bankruptcy six times, okay?",Yes,the economy
We joined the Paris Agreement on day one of my presidency.,Yes,climate change
"Now, the median home price is past $400,000, a record high according to Zillow.",Yes,housing
"According to the Department of Education, there are 55 million students in K-12.",Yes,education
She admitted they raised the Medicare age from 65 to 67.,Yes,healthcare
She received campaign donations from three of the largest coal companies.,Yes,the environment
The National Small Business Association reported that taxes are the second biggest concern for business owners today.,Yes,employment
"According to a 2022 Pentagon report, China has more active-duty soldiers than any other nation.",Yes,the military
"Last year, the EPA reported that air quality improvements prevented over 6,000 premature deaths associated with pollution.",Yes,the environment
We built more public transportation infrastructure in the past decade than any other administration.,Yes,infrastructure
"Uh, women still earn only 82 cents on the dollar compared to men.",Yes,employment
"Under the new bill, no one with a pre-existing condition can be denied coverage.",Yes,healthcare
The treaty signed in 2015 prevented Iran from advancing its nuclear program beyond the agreed upon 3.67% uranium enrichment level.,Yes,foreign policy
"And according to a RAND study, the cost of a new stealth fighter is 80 million dollars per unit.",Yes,the military
He's promoting a system of socialized medicine that has failed in other countries.,Yes,healthcare
"According to the latest poll, more than 70% of Americans support ranked-choice voting.",Yes,elections
"Our plan will require, look, mandatory safety training for all gun owners.",Yes,gun control
The Secretary of Energy announced last week that solar power installations have doubled since 2018.,Yes,energy
That's the biggest wave of migrant children arriving since 2008.,Yes,immigration
He was the one who said we shouldn't have red flag laws.,Yes,gun control
"During his time as Secretary of State, he never visited Taiwan.",Yes,foreign policy
"Under the new trade agreement, we're seeing record agricultural exports to Canada.",Yes,trade
Pfizer's vaccine was the first to receive full FDA approval in 2021.,Yes,vaccines
I've introduced a bill that would cap insulin costs at $35 a month.,Yes,healthcare
The Supreme Court ruling last year actually reversed a decision that stood for over 20 years.,Yes,reproductive rights
"I mean, the sanctions on North Korea, they said, they're the toughest in fifty years.",Yes,foreign policy
We've seen more hostages released under my leadership than any time since the Cold War.,Yes,foreign policy
The World Bank estimates global poverty has decreased by 50% since 2000.,Yes,foreign policy
The WHO reported the US ranks 37th in overall healthcare system performance.,Yes,healthcare
I was part of the committee that ensured veterans' access to mental health care was expanded.,Yes,healthcare
"And that's why we can't, uh, just privatize it without risking future retirees' security.",Yes,social security
The President just announced that unemployment is at its lowest rate since 1969.,Yes,employment
France generates over 70% of its electricity from nuclear energy.,Yes,energy
"And, I mean, for-profit colleges have defrauded students to the tune of billions.",Yes,education
"And more importantly, that was after we made it available for free to everyone.",Yes,vaccines
A study from the Brookings Institution found that over 5 million jobs were lost to outsourcing.,Yes,trade
Our troops are using technology from the '90s in their communication systems.,Yes,the military
"And more importantly, state enforcement agencies didn’t even receive their promised funding until this fiscal quarter.",Yes,crime
"And you know, our opponent wants to cut troop numbers in half within six months.",Yes,the military
"Under her leadership, they cut the arts budget by 25%, which is just not acceptable.",Yes,education
Twenty-five million people gained coverage thanks to these reforms.,Yes,healthcare
The World Trade Organization ruled against his tariffs on aluminum imports.,Yes,trade
"In 2022, the Navy commissioned five new destroyers, the most in a single year since 2005.",Yes,the military
"And according to the WHO, there's no evidence of a significant reaction in the majority population.",Yes,vaccines
We now have an inflation rate that's higher than most of our European allies.,Yes,the economy
"In 2018, 60 Fortune 500 companies paid zero in federal taxes.",Yes,tax policy
"After the embargo, Cuba's GDP grew at a rate of about 1.5 percent annually.",Yes,foreign policy
The Secretary said we'd see full broadband access in all high schools by 2025.,Yes,education
"After 9/11, we established the Department of Homeland Security with bipartisan support.",Yes,the military
"According to a recent report, over 40% of roads are in poor or mediocre condition.",Yes,infrastructure
"Uh, my opponent, when he was governor, saw the poverty rate in his state jump by 5%.",Yes,the economy
"He keeps saying he supports rent control, but then votes against it every time.",Yes,housing
We're leading the G7 in reducing coal dependency.,Yes,energy
"And add to that, the cybersecurity upgrades to voting machines that Congress approved last year have already been implemented in 32 states.",Yes,elections
"Look, there are over 2 million people in our prisons today.",Yes,crime
My plan proposes a path to citizenship that empowers 5 million Dreamers to be finally free from the fear of deportation.,Yes,immigration
The Secretary of Education herself stated that student performance has improved 20% in math and science.,Yes,education
"According to a recent CBO report, raising the payroll tax cap would extend solvency by 20 years.",Yes,social security
"The Cato Institute found that immigrants, uh, they contribute more in taxes than they consume in benefits.",Yes,immigration
"The UN report just released this week states there are over 3,000 conflicts globally.",Yes,foreign policy
"Under my leadership, the Department of Energy invested $6 billion in clean energy research this year alone.",Yes,energy
"And, by the way, she was the first woman to chair a presidential debate commission.",Yes,elections
"According to the latest CDC report, childhood obesity rates are skyrocketing.",Yes,healthcare
I've actually supported more trade enforcement actions than any other sitting member in this chamber.,Yes,trade
"Look, class sizes have actually decreased since 2017, thanks to new legislation we've passed.",Yes,education
My opponent's policy would allow Russia to dictate terms in Eastern Europe without any pushback.,Yes,foreign policy
"He said in 2015 that sea levels weren't rising, but look at the data now.",Yes,climate change
The International Trade Commission reported that 2 million jobs depend on the NAFTA agreement.,Yes,trade
His party refused to even bring a vote on the assault weapons ban last year.,Yes,gun control
"Joe, during your administration, voting rights legislation was stalled in Congress.",Yes,elections
"Uh, and remember, it was my administration that expanded Title X by 15%.",Yes,reproductive rights
"According to the GAO report, they didn't actually supply those troops with modern body armor.",Yes,the military
"Uh, under my administration, we've planted over a billion trees.",Yes,climate change
"And you know, automation, that's been a bigger job killer than any foreign competition.",Yes,trade
"And you know, my plan provides a $15,000 tax credit for first-time homebuyers.",Yes,housing
"Last year, the Army failed to recruit its target by 10,000 soldiers.",Yes,the military
"And, mind you, those families weren’t separated under the new guidelines.",Yes,immigration
"And, I mean, that makes us second only to California in housing costs.",Yes,housing
Some reports say his administration reduced family planning grants by almost $200 million.,Yes,reproductive rights
"The climate agreement was signed by 197 countries but still, he withdrew us from it, leaving us without a seat at the table.",Yes,climate change
"We're the only industrialized nation, besides the United States, without universal healthcare.",Yes,healthcare
The National Education Association ranks us last in funding for early childhood education.,Yes,education
He signed off on drilling permits in protected areas.,Yes,climate change
"According to the NEA, we've got to hire twice as many teachers.",Yes,education
"In 2019, we had the highest life expectancy drop in a century.",Yes,healthcare
"Look, pharmaceutical companies increased drug prices 7% last year alone.",Yes,healthcare
He supported a policy that doubled mandatory minimum sentences for drug offenses.,Yes,crime
"In 2004, the recount cost taxpayers more than $2 million.",Yes,elections
"Look, under your administration, trade negotiations with the UK have stalled for over a year.",Yes,trade
"And, let me tell you, no other country had a faster approval process than us.",Yes,vaccines
The chamber of commerce reported a 25% growth in small businesses.,Yes,the economy
"The Senator claims to support public schools, yet he was a proponent of school vouchers, widely known to undermine them.",Yes,education
The International Trade Commission said it would create a surplus of $10 billion in our economic growth.,Yes,trade
"According to the Bureau of Labor Statistics, the labor force participation rate is down to 62.7%.",Yes,employment
